station_id,sensor_id,latitude,longitude,road_name,direction,county,city,station_type,district,state
400001,400001,37.364084999999996,-121.901149,101,N,85,68000.0,mainline,4,CA
400017,400017,37.253303,-121.94543999999999,85,S,85,68000.0,mainline,4,CA
400030,400030,37.359087,-121.90653799999998,880,S,85,68000.0,mainline,4,CA
400040,400040,37.294949,-121.87310900000001,87,S,85,68000.0,mainline,4,CA
400045,400045,37.363402,-121.90223300000001,880,N,85,68000.0,mainline,4,CA
400052,400052,37.255790999999995,-121.875479,85,N,85,68000.0,mainline,4,CA
400057,400057,37.335021999999995,-121.93552199999999,880,N,85,68000.0,mainline,4,CA
400059,400059,37.250481,-121.907735,85,S,85,68000.0,mainline,4,CA
400065,400065,37.320291999999995,-121.890281,87,S,85,68000.0,mainline,4,CA
400069,400069,37.385758,-121.977493,101,S,85,69084.0,mainline,4,CA
400073,400073,37.2563,-121.95555900000001,17,S,85,44112.0,mainline,4,CA
400084,400084,37.329258,-122.01205300000001,280,S,85,17610.0,mainline,4,CA
400085,400085,37.255594,-121.87471000000001,85,S,85,68000.0,mainline,4,CA
400088,400088,37.414988,-121.91268500000001,880,N,85,47766.0,mainline,4,CA
400096,400096,37.418048999999996,-121.972381,237,W,85,69084.0,mainline,4,CA
400097,400097,37.279012,-122.01061399999999,85,S,85,70280.0,mainline,4,CA
400100,400100,37.295052,-121.938872,17,S,85,10340.0,mainline,4,CA
400104,400104,37.419313,-121.95548000000001,237,E,85,68000.0,mainline,4,CA
400109,400109,37.362706,-121.889426,101,S,85,68000.0,mainline,4,CA
400122,400122,37.36614,-121.901132,880,N,85,68000.0,mainline,4,CA
400147,400147,37.342209999999994,-121.926305,880,N,85,68000.0,mainline,4,CA
400148,400148,37.250664,-121.912479,85,N,85,68000.0,mainline,4,CA
400149,400149,37.4118,-122.077964,101,S,85,49670.0,mainline,4,CA
400158,400158,37.421059,-121.93678,237,W,85,68000.0,mainline,4,CA
400160,400160,37.348392,-121.86058899999999,101,S,85,68000.0,mainline,4,CA
400168,400168,37.391166,-121.995524,101,N,85,77000.0,mainline,4,CA
400172,400172,37.376264,-121.93971200000001,101,S,85,68000.0,mainline,4,CA
400174,400174,37.403686,-122.06976,85,N,85,49670.0,mainline,4,CA
400178,400178,37.276874,-121.863698,87,N,85,68000.0,mainline,4,CA
400185,400185,37.303131,-122.034527,85,N,85,68000.0,mainline,4,CA
400201,400201,37.419185999999996,-121.96283100000001,237,W,85,68000.0,mainline,4,CA
400206,400206,37.381356,-121.96211000000001,101,S,85,68000.0,mainline,4,CA
400209,400209,37.319961,-122.049031,85,S,85,17610.0,mainline,4,CA
400213,400213,37.259192,-121.967128,85,S,85,44112.0,mainline,4,CA
400221,400221,37.293614,-121.937899,17,N,85,10340.0,mainline,4,CA
400222,400222,37.275395,-122.00470200000001,85,N,85,68000.0,mainline,4,CA
400227,400227,37.377237,-121.94358600000001,101,N,85,68000.0,mainline,4,CA
400236,400236,37.325009,-121.89298400000001,87,S,85,68000.0,mainline,4,CA
400238,400238,37.413256,-121.912324,880,S,85,47766.0,mainline,4,CA
400240,400240,37.258184,-121.95385300000001,17,N,85,44112.0,mainline,4,CA
400246,400246,37.386551000000004,-121.97946200000001,101,N,85,69084.0,mainline,4,CA
400253,400253,37.342957,-121.925721,880,S,85,68000.0,mainline,4,CA
400257,400257,37.291715,-121.871799,87,S,85,68000.0,mainline,4,CA
400258,400258,37.313462,-121.886197,87,N,85,68000.0,mainline,4,CA
400268,400268,37.255651,-121.858078,85,N,85,68000.0,mainline,4,CA
400274,400274,37.409909000000006,-121.995942,237,W,85,77000.0,mainline,4,CA
400278,400278,37.266560999999996,-121.948692,17,S,85,44112.0,mainline,4,CA
400280,400280,37.26198,-121.858479,87,N,85,68000.0,mainline,4,CA
400292,400292,37.316378,-121.972052,280,S,85,68000.0,mainline,4,CA
400296,400296,37.420359000000005,-121.93915,237,E,85,68000.0,mainline,4,CA
400298,400298,37.293046999999994,-121.93786100000001,17,S,85,10340.0,mainline,4,CA
400330,400330,37.398628,-122.026802,101,S,85,77000.0,mainline,4,CA
400336,400336,37.250624,-121.92820900000001,85,N,85,68000.0,mainline,4,CA
400343,400343,37.348907000000004,-121.917833,880,N,85,68000.0,mainline,4,CA
400353,400353,37.383125,-121.967496,101,N,85,68000.0,mainline,4,CA
400372,400372,37.38482,-121.974251,101,S,85,69084.0,mainline,4,CA
400394,400394,37.364382,-121.90269199999999,101,S,85,68000.0,mainline,4,CA
400400,400400,37.34241,-121.85454299999999,101,N,85,68000.0,mainline,4,CA
400414,400414,37.317941999999995,-121.977301,280,N,85,68000.0,mainline,4,CA
400418,400418,37.291828,-121.87183600000002,87,N,85,68000.0,mainline,4,CA
400429,400429,37.319424,-121.993175,280,S,85,68000.0,mainline,4,CA
400435,400435,37.403153,-122.047463,101,S,85,77000.0,mainline,4,CA
400436,400436,37.271687,-121.94703700000001,17,N,85,10340.0,mainline,4,CA
400440,400440,37.353727,-121.865827,101,S,85,68000.0,mainline,4,CA
400449,400449,37.419452,-121.95549799999999,237,W,85,68000.0,mainline,4,CA
400457,400457,37.276763,-121.86366100000001,87,S,85,68000.0,mainline,4,CA
400461,400461,37.254781,-121.87891699999999,85,N,85,68000.0,mainline,4,CA
400464,400464,37.258029,-121.96221100000001,85,N,85,44112.0,mainline,4,CA
400479,400479,37.362439,-121.90321100000001,880,S,85,68000.0,mainline,4,CA
400485,400485,37.254231,-121.94921599999999,85,N,85,68000.0,mainline,4,CA
400499,400499,37.331068,-122.014931,280,N,85,17610.0,mainline,4,CA
400507,400507,37.298931,-122.02980600000001,85,N,85,68000.0,mainline,4,CA
400508,400508,37.34766,-121.919969,880,S,85,68000.0,mainline,4,CA
